Nombre variable,Tipo de dato,Formato,Unidad de medida,Descripci√≥n,Identificadores,Cat√°logo de referencia,Detalle de relaci√≥n con cat√°logos,Identificador de valores nulos,Ejemplo de dato
perdida_peso,Num√©rico,n,0,El paciente presenta p√©rdida de peso 1=Si 2=No,0,0,0,0,1
hiperacusia,Num√©rico,n,0,El paciente presenta hipercusia 1=Si 2=No,0,0,0,0,1
somolencia,Num√©rico,n,0,El paciente presenta sonmnolencia 1=Si 2=No,0,0,0,0,1
dismin_plaquetas,Num√©rico,n,0,El paciente presenta disminunci√≥n de plaquetas 1=Si 2=No,0,0,0,0,1
dismin_hemoglob,Num√©rico,n,0,El paciente presenta disminunci√≥n de hemoglobina 1=Si 2=No,0,0,0,0,1
linfadenopatia,Num√©rico,n,0,El paciente presenta linfadenopat√≠a 1=Si 2=No,0,0,0,0,1
manejo,Num√©rico,n,0,El manejo del paciente es 1=Hospitalario 2=Ambulatorio,0,0,0,0,1
fec_ingreso,Fecha,aaaa-mm-dd,,Fecha de ingreso del paciente. Renombrado de†fecha_ingreso.,,,,VacÌo,05/02/2022 00:00
cve_uni_med_tratante,Texto,,,Clave de la unidad mÈdica tratante. Renombrado de†cve_uni_med_trat.,,,,VacÌo,SRIMS132154
des_unidad_tratante,Texto,,,Nombre de la unidad mÈdica tratante. Renombrado de†des_uni_med_trat.,,,,VacÌo,Hospital General del Estado Dr. Ernesto Ramos Bours
des_jur_uni_trat,Texto,0,0,Jurisdicci√≥n de la unidad m√©dica tratante,0,0,0,Vac√≠o,Hermosillo
des_mpo_uni_trat,Texto,0,0,Municipio donde pertenece la unidad m√©dica tratante,0,0,0,Vac√≠o,Hermosillo
des_ins_uni_trat,Texto,0,0,Instituci√≥n de la unidad tratante,0,0,0,Vac√≠o,IMSS
cve_diag_hospit,Texto,0,0,Diagn√≥stico emitido por el hospital,0,0,0,Vac√≠o,Fiebre Manchada
servic_atencion,Num√©rico,n,0,Tipo de servicio de atenci√≥n,servic_atencion,Cat√°logo servicios,servic_atencion,0,Urgencias m√©dicas
otr_serv_atencion,Texto,0,0,Otro tipo de servicio,0,0,0,Vac√≠o,Epidemiolog√≠a
trans_hemorr,Num√©rico,n,0,El paciente presenta transtornos hemorr√°gicos 1=Si 2=No,0,0,0,0,2
diabetes,Num√©rico,n,0,El paciente presenta diabetes 1=Si 2=No,0,0,0,0,1
hipertension,NumÈrico,n,,El paciente presenta hipertensiÛn 1=Si 2=No. Renombrado de†hipertensiÛn†(eliminaciÛn de acento).,,,,0,1
enf_ulcero_peptica,Num√©rico,n,0,El paciente presenta enfermedad ulcero p√©ptica 1=Si 2=No,0,0,0,0,1
enf_renal,Num√©rico,n,0,El paciente presenta enfermedad renal 1=Si 2=No,0,0,0,0,2
inmunosupresion,NumÈrico,n,,El paciente presenta inmunosupresiÛn 1=Si 2=No. Renombrado de†inmunosupresiÛn†(eliminaciÛn de acento).,,,,0,1
cirrosis_hepatica,NumÈrico,n,,El paciente presenta cirrosis hep·tica 1=Si 2=No. Renombrado de†cirrosis_hep·tica†(eliminaciÛn de acento).,,,,0,2
embarazo,Num√©rico,n,0,El paciente presenta embarazo 1=Si 2=No,0,0,0,0,1
sem_gest,Num√©rico,0,0,Semanas de gestaci√≥n del paciente (Si aplica),0,0,0,Vac√≠o,16
otros_especifique,Texto,0,0,El paciente presenta otra comorbilidad ,0,0,0,Vac√≠o,Tuberculosis pulmonar
evolucion,Num√©rico,n,0,Evoluci√≥n del caso 1=Estable 2=Grave 3=Mejor√≠a,0,0,0,0,2
lcr,Num√©rico,n,0,Se tom√≥ muestra del liqu√≠do cefalorraquideo con aspecto de agua de roca 1=Si 2=No,0,0,0,0,1
bilirrubina_directa,Num√©rico,0,0,Resultado de bilirrubina directa,0,0,0,0,3
bilirrubina_total,Num√©rico,0,0,Resultado total de bilirrubina,0,0,0,0,4
dhl,Num√©rico,0,0,Resultados de Deshidrogenasa L√°ctica ,0,0,0,0,417
alt,Num√©rico,0,0,Resultados de Alanina aminotransferasa,0,0,0,0,27
ast,Num√©rico,0,0,Resultados de Aspartato aminotransferasa,0,0,0,0,32
liquido_cavidad_abdominal,Num√©rico,n,0,El paciente presenta l√≠quido periviceral y/o en cavidad abdominal,0,0,0,0,2
liquido_cavidad_toracica,Num√©rico,n,0,El paciente presenta l√≠quido en cavidad tor√°cica,0,0,0,0,2
fec_egreso,Fecha,aaaa-mm-dd,0,Fecha de egreso del paciente,0,0,0,Vac√≠o,44602
cve_egreso,Num√©rico,n,0,Motivo de egreso 1=Alta por mejor√≠a 2=Alta voluntaria 3=Defunci√≥n,0,0,0,0,3
fec_defuncion,Fecha,aaaa-mm-dd,0,Fecha de defunci√≥n del paciente,0,0,0,Vac√≠o,44602
cve_defuncion,NumÈrico,n,,Indica defunciÛn 1=Si 2=No. Renombrado de†cve_defunciÛn†(eliminaciÛn de acento).,,,,0,1
muestra_laboratorio,NumÈrico,n,,Se tomÛ muestra en laboratorio 1=Si 2=No. Renombrado de†muestra_lab.,,,,0,1
fecha_toma_rickett_ser1,Fecha,aaaa-mm-dd,0,Fecha en la que se toma la primera muestra de suero para rickettsiosis,0,0,0,Vac√≠o,44593
fecha_recep_rickett_ser1,Fecha,aaaa-mm-dd,0,Fecha de recepci√≥n de primera muestra de suero para rickettsiosis,0,0,0,Vac√≠o,44594
fecha_resultado_rickett_ser1,Fecha,aaaa-mm-dd,0,Fecha de resultado de la primera muestra de suer para rickettsiosis,0,0,0,Vac√≠o,44601
rickett_resultado_ser1,Num√©rico,n,0,Resultado de la primera muestra de suero para rickettsiosis 1=Positivo 2=Negativo,0,0,0,0,1
fecha_toma_rickett_sangre,Fecha,aaaa-mm-dd,0,Fecha de toma muestra de sangre para rickettsiosis,0,0,0,Vac√≠o,44593
fecha_recep_rickett_sangre,Fecha,aaaa-mm-dd,0,Fecha de recepci√≥n de primera muestra de sangre para rickettsiosis,0,0,0,Vac√≠o,44595
mstra_rech_ricket_sangre,NumÈrico,n,,Rechazo de muestra de sangre del paciente 1=Si 2=No. Renombrado de†muestra_rech_ricket_sangre.,,,,"VacÌo, 0",1
motiv_rech_ricket_sangre,Num√©rico,0,0,Motivo de rechazo de la muestra de sangre del paciente,motiv_rech_ricket_sangre,Motivos de rechazo ,motiv_rech_ricket_sangre,"Vac√≠o,0",3
ricket_cq_lesp,Num√©rico,0,0,Valor de CQ de resultado PCR en el LESP para rickettsiosis,0,0,0,Vac√≠o,36.04
ricket_cq,Num√©rico,0,0,Valor de CQ de resultado PCR en el InDRE para rickettsiosis,0,0,0,Vac√≠o,32.61
res_final_ricket_inmuno,Num√©rico,n,0,Resultado de inmunoflourecencia indirecta 1=Si 2=No,0,0,0,"Vac√≠o, 0",1
res_final_ricket_rtpcr,Num√©rico,n,0,Resultado tiempo real para ricketsiosis 1=Positivo 2=Negativo 3=Indeterminado,0,0,0,"Vac√≠o, 0",1
fecha_resultado_rickett_rtpcr,Fecha,aaaa-mm-dd,0,Fecha de resultado PCR tiempo real para rickettsiosis,0,0,0,Vac√≠o,44597
ricket_especie_rtpcr,Num√©rico,n,0,Resultado especie PCR tiempo real al INDRE para rickettsiosis ,ricket_especie_rtpcr,Especie rickettsiosis,ricket_especie,"Vac√≠o,0",1
tratamiento_rickettsiosis,Num√©rico,n,0,Recibe tratamiento para rickettsiosis 1=Si 2=No,0,0,0,0,1
fec_ini_trat_ricket,Fecha,aaaa-mm-dd,,Fecha de inicio de tratamiento para rickettsiosis. Renombrado de†fecha_ini_trat_ricket.,,,,VacÌo,05/02/2022 00:00
